city1_name,city2_name,zipcode1,zipcode2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,votingDistance,frequencyDistance,frequencyCosine,categoriesJaccard
New York,Miami,10036,33131,0.09714998408738676,8994.0,1759287.122109736,0.3345794259469791,7300.0,0.09781005556217026,0.06710533424456533,0.23945787128954443,289.5962706942201,0.7921441947195454,0.40668523676880225
New York,Miami,10036,33139,0.06722672846627518,41629.0,1756830.6979735761,0.14729922476096077,3817.0,0.06432114997004812,0.11871925141693829,0.21875609534558815,273.5543821619387,0.838061194936099,0.46256239600665555
New York,Miami,10036,33142,0.25564416535342993,67262.0,1757133.5647138495,0.34501122253625327,25848.0,0.170704740328684,0.5341287605496803,0.20022237982392987,357.87008816049433,0.4991905032163339,0.27109375
New York,Miami,10036,33172,0.37546688417953206,44437.0,1762575.8096579947,0.2963751547778762,8876.0,0.05868680837332274,0.3393904388023962,0.36922965753896997,342.87315438803313,0.5577121031004567,0.3755868544600939
New York,Miami,10036,33304,0.019180222685070115,28834.0,1717558.7079121924,0.12964762933494034,12023.0,0.08800594064880463,0.1463729446140335,0.18772015226152527,320.72106260736916,0.7451298115934898,0.4106689246401355
New York,Miami,10036,33308,0.04392514877114409,24787.0,1712140.3597875363,0.17319947820345746,3328.0,0.19072591790785232,0.11324796765682843,0.3606362659030234,308.29531297118353,0.7488923489980761,0.374113475177305
New York,Miami,10036,33316,0.028982873430445356,15204.0,1721817.7314277121,0.2567382431516972,18550.0,0.11491532947983962,0.11322815593534974,0.3198780031884233,324.21906174683807,0.7330171573811779,0.3581081081081081
New York,Miami,10036,33323,0.021997938672710517,2301.0,1722702.3792599535,0.4211524654856126,7506.0,0.029678511069744062,0.14539291294105983,0.24569276073179647,380.96719018834153,0.4124602278881413,0.3472727272727273
New York,Miami,10036,33401,0.05853871565234656,48623.0,1655306.206864733,0.2795640274623867,1375.0,0.10905387723404625,0.24517353340235615,0.16103829015240223,299.58304357890484,0.7181392702510307,0.42088353413654617
New York,Miami,10036,33411,0.020783355772481957,20987.0,1659679.2157117843,0.2824306501262922,44710.0,0.10821887931745344,0.24171651915423553,0.30377964533848767,344.17873263756434,0.5861242929806564,0.33607784431137727
New York,Los Angeles,10036,90012,0.07398212170528823,44899.0,3926235.21913484,0.24993699056732252,6874.0,0.2231426834038649,0.2946993145101854,0.05072280296927767,292.74220741123065,0.7601428507267481,0.346393588601959
New York,Los Angeles,10036,90015,0.13753768575795353,45115.0,3929777.8581524086,0.19887728018368522,5332.0,0.04055597859287474,0.2084742525949581,0.04962157814664969,303.17816544071906,0.7266164380656094,0.4010600706713781
New York,Los Angeles,10036,90028,0.00857842343963427,45363.0,3932077.63355551,0.14837566938558408,852.0,0.02204354204104053,0.17350131743170483,0.048562974380133794,232.90770704294007,0.8624176500620998,0.44494584837545126
New York,Los Angeles,10036,90036,0.005810270172232805,10309.0,3935308.275207187,0.16060630929157216,8195.0,0.025648177932235505,0.02127519276041423,0.06804161473792869,301.06311630619916,0.7667180297761321,0.38290293855743546
New York,Los Angeles,10036,90045,0.0009589750690463382,17766.0,3946818.253528677,0.3204105516278452,11763.0,0.0814295603651034,0.034852610436873044,0.08880513631748299,307.25722123328524,0.7048904510354727,0.39228007181328545
New York,Los Angeles,10036,90802,0.027754839432566583,35457.0,3938158.782114316,0.1739251316464359,9270.0,0.014080856437527878,0.24319425654827898,0.03548954958067119,289.3544539142261,0.8376515612152465,0.3844797178130511
New York,Los Angeles,10036,92626,0.005419824932397101,589.0,3916485.611335797,0.1837630949838134,19980.0,0.01149580763076219,0.19048288820813997,0.2875989818542728,291.9520508576708,0.712077533611896,0.38814814814814813
New York,Los Angeles,10036,92648,0.013299536828394944,7582.0,3925279.7738012085,0.20178762267857275,14932.0,0.06329544239532159,0.14974889780800738,0.3813707711295127,299.6798291510458,0.7707094235430741,0.35972461273666095
New York,Los Angeles,10036,92802,0.18326381521600463,27555.0,3911738.148789172,0.3045256610175079,13109.0,0.08182446871294013,0.46379208498576213,0.24732862891498408,303.47322781425055,0.7135951965653394,0.32716650438169426
New York,Los Angeles,10036,90401,0.03723048475803575,7495.0,3949818.471636638,0.16143061075567425,22664.0,0.0194679154689833,0.05984067812606386,0.05576593444769229,282.91694894438547,0.803043707587497,0.41013824884792627
Miami,Los Angeles,33411,90015,0.14392101262579343,24128.0,3737134.416327862,0.27005049445027846,50042.0,0.0676629007245787,0.03324226655927742,0.254158067191838,160.822883943797,0.5982867177079588,0.35875943000838223
Miami,Los Angeles,33411,90028,0.01659648993121972,24376.0,3742757.8205769304,0.32235335123600023,43858.0,0.08617533727641291,0.0682152017225307,0.2552166709583539,194.05926929677955,0.6416439936634145,0.3509496284062758
Miami,Los Angeles,33411,90036,0.03614812597105575,10678.0,3744797.4450035845,0.33533679828673746,36515.0,0.13386705724968895,0.2204413263938213,0.23573803060055898,136.69674465765453,0.6674484762806375,0.35034013605442177
Miami,Los Angeles,33411,90045,0.013066670896723045,38753.0,3750918.5196668906,0.11750212868641964,32947.0,0.02678931895235004,0.2068639087173625,0.21497450902100468,149.1978552124661,0.67084148248544,0.3719723183391003
Miami,Los Angeles,33411,90401,0.052723657102263545,13492.0,3757980.1691340585,0.25483603062638127,67374.0,0.08875096384847014,0.3015571972802994,0.24801371089079538,156.00320509528,0.6200194179022739,0.33191489361702126
